IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Category,Description,RecommendedActions
Url,http://arkamp.ir/wp-content/DOC/xmq5hba3qm27ojgozpzh6ou_01atxnvo9y-51238777864/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://slowlane.me/mjd37z39oeme7czhois9ggxyjifvc_1slhznvs-553375313/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://chuquanla.com/wp-admin/yj0m83mwqum88_bawcxx-778059512,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://spiritofbeauty.de/AGBs/DOC/vfh24cc39oo_utqej-98578577745/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://sozialstationen-stuttgart.de/Aktuell/paclm/dQYsvpRrMOcnmKkxWTpJgRUeIIjr/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://anysbergbiltong.co.za/48f5ce/Abierto-Pasado-Vencimiento-Pedidos/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://profexsystem.com/dist/3WIR6TGGZDN5VDE/FkCKYFtVMfhUpViQapyJifvkVBKCWR/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://auraco.ca/enlightme[.]new/DHrXJZaEKCX/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://kolbecompany.com/pykm/Document/gXnBJXFVkGzxirvmIcONoELHHdrnb/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://blog.digialpha.net/Newspaper/Document/tPSKGPUfE/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://kkindonesia.com/public/dist/sites/v3osxbxl0_ro2xh9s4cx-5038487472490/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
